provider_name,provider_type,state,description,email,contact_number,address,website,payment_method,payment_details
Citypoint Property Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Citypoint Property Pty Ltd for a Victorian property.,,,,,,
CIVIUM Property Group,BodyCorp,VIC,Order the Owners Corporation Certificate from CIVIUM Property Group for a Victorian property.,,,,,,
Clarence Team Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Clarence Team Pty Ltd for a Victorian property.,,,,,,
Clarence Valley City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Clarence Valley City Council.,info@clarencevalley.nsw.gov.au,,Clarence Valley,https://www.clarencevalley.nsw.gov.au,,
Clarke & Barwood Lawyers,BodyCorp,VIC,Order the Owners Corporation Certificate from Clarke & Barwood Lawyers for a Victorian property.,,,,,,
Clifdale Strata Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Clifdale Strata Management for a Victorian property.,,,,,,
Clifford Body Corporate Managers,BodyCorp,VIC,Order the Owners Corporation Certificate from Clifford Body Corporate Managers for a Victorian property.,,,,,,
Cloncurry Shire Council,LGA,QLD,Order the Rates: Full incl Water Health Bldg Zoning from Cloncurry Shire Council.,info@cloncurry.qld.gov.au,,Cloncurry Shire,https://www.cloncurry.qld.gov.au,,
CLT Holdings Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from CLT Holdings Pty Ltd for a Victorian property.,,,,,,
Club Links Community,BodyCorp,VIC,Order the Owners Corporation Certificate from Club Links Community for a Victorian property.,,,,,,
CMNY Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from CMNY Pty Ltd for a Victorian property.,,,,,,
Cobar City Council,LGA,NSW,Order the Special Water Meter Reading from Cobar City Council.,info@cobar.nsw.gov.au,,Cobar,https://www.cobar.nsw.gov.au,,
Coffs Harbour City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Coffs Harbour City Council.,coffs.council@chcc.nsw.gov.au,02 6648 4000,Coffs Harbour,https://www.chcc.nsw.gov.au,,
Cognitive Solutions Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Cognitive Solutions Pty Ltd for a Victorian property.,,,,,,
Colac City Council,LGA,VIC,Order the Otway Shire Council - Council Land Information Certificate from Colac City Council for a property in Colac.,info@colac.vic.gov.au,,Colac,https://www.colac.vic.gov.au,,
Coleson Owners Corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from Coleson Owners Corporation for a Victorian property.,,,,,,
Coliban Region Water,Utility,VIC,Coliban Water — regional water corporation for Bendigo and north-central Victoria.,coliban@coliban.com.au,1300 363 200,Coliban Region,https://www.coliban.com.au,,
College Square on Lygon,BodyCorp,VIC,Order the Owners Corporation Certificate from College Square on Lygon for a Victorian property.,,,,,,
Colliers International,BodyCorp,VIC,Order the Melbourne - Owners Corporation Certificate from Colliers International for a Victorian property.,,,,,,
Colliers PRD,BodyCorp,VIC,Order the Owners Corporation Certificate from Colliers PRD for a Victorian property.,,,,,,
Colonial First State Global Asset Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Colonial First State Global Asset Management for a Victorian property.,,,,,,
Comac Retail Property Group,BodyCorp,VIC,Order the Owners Corporation Certificate from Comac Retail Property Group for a Victorian property.,,,,,,
Commercial Retail Solutions,BodyCorp,VIC,Order the Owners Corporation Certificate from Commercial Retail Solutions for a Victorian property.,,,,,,
Common Equity Housing Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Common Equity Housing Ltd for a Victorian property.,,,,,,
Commonzone Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Commonzone Pty Ltd for a Victorian property.,,,,,,
Community Living Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Community Living Pty Ltd for a Victorian property.,,,,,,
Community Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Community Management Pty Ltd for a Victorian property.,,,,,,
Complete Body Corporate Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Complete Body Corporate Pty Ltd for a Victorian property.,,,,,,
Con Hagy,BodyCorp,VIC,Con Hagy is an owners corporation / body corporate manager in VIC providing strata records and certificates.,,,,,,
Concord Owners Corporation Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Concord Owners Corporation Management for a Victorian property.,,,,,,
Conquest Dowlings,BodyCorp,VIC,Order the Owners Corporation Certificate from Conquest Dowlings for a Victorian property.,,,,,,
Conquest Estate Agency,BodyCorp,VIC,Order the Owners Corporation Certificate from Conquest Estate Agency for a Victorian property.,,,,,,
Cook Shire Council,LGA,QLD,Order the Rates Search from Cook Shire Council.,info@cook.qld.gov.au,,Cook Shire,https://www.cook.qld.gov.au,,
Coolamon City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) & S.10.7(5) from Coolamon City Council.,info@coolamon.nsw.gov.au,,Coolamon,https://www.coolamon.nsw.gov.au,,
Coonamble City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Coonamble City Council.,info@coonamble.nsw.gov.au,,Coonamble,https://www.coonamble.nsw.gov.au,,
Cooper Body Corporate Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Cooper Body Corporate Management for a Victorian property.,,,,,,
Cooper Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Cooper Real Estate for a Victorian property.,,,,,,
Cootamundra-Gundagai Regional Council,LGA,NSW,Order the Rates Certificate S.603 from Cootamundra-Gundagai Regional Council.,info@cootamundragundagai.nsw.gov.au,,Cootamundra-Gundagai Regional,https://www.cootamundragundagai.nsw.gov.au,,
Copmanhurst Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Copmanhurst Pty Ltd for a Victorian property.,,,,,,
Corangamite Catchment Management Authority,State_government,VIC,Order the CMA Rural Floodplain Certificate from Corangamite Catchment Management Authority for a Victorian property.,,,,,,
Corangamite Shire Council,LGA,VIC,Order the Council Land Information Certificate from Corangamite Shire Council for a property in Corangamite Shire.,info@corangamite.vic.gov.au,,Corangamite Shire,https://www.corangamite.vic.gov.au,,
Cormac Strata Services,BodyCorp,VIC,Order the Owners Corporation Certificate from Cormac Strata Services for a Victorian property.,,,,,,
Corporate Executive Offices (Southgate) Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Corporate Executive Offices (Southgate) Pty Ltd for a Victorian property.,,,,,,
Corporate Strata Pty Ltd,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Corporate Strata Pty Ltd for a Victorian property.,,,,,,
Country Club Villages Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Country Club Villages Pty Ltd for a Victorian property.,,,,,,
Cowes body corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Cowes body corporate for a Victorian property.,,,,,,
Cowra City Council,LGA,NSW,Order the Special Water Meter Reading (Other) from Cowra City Council.,info@cowra.nsw.gov.au,,Cowra,https://www.cowra.nsw.gov.au,,
CPC Owners Corporation Management,BodyCorp,VIC,Order the Owners Corporation Certificate from CPC Owners Corporation Management for a Victorian property.,,,,,,
CRM Business Advisors Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from CRM Business Advisors Pty Ltd for a Victorian property.,,,,,,
Cromwell Owners Corporation Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Cromwell Owners Corporation Pty Ltd for a Victorian property.,,,,,,
Crowders Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Crowders Real Estate for a Victorian property.,,,,,,
Croydon Shire Council,LGA,QLD,Order the Rates: Standard search incl water from Croydon Shire Council.,info@croydon.qld.gov.au,,Croydon Shire,https://www.croydon.qld.gov.au,,
CRR (Central Register of Restriction) City Council,LGA,NSW,Order the Jemena Gas Networks (NSW) Ltd from CRR (Central Register of Restriction) City Council.,info@crr.nsw.gov.au,,CRR (Central Register of Restriction),https://www.crr.nsw.gov.au,,
CRS Property,BodyCorp,VIC,Order the Owners Corporation Certificate from CRS Property for a Victorian property.,,,,,,
CS Consulting Group,BodyCorp,VIC,Order the Owners Corporation Certificate from CS Consulting Group for a Victorian property.,,,,,,
Cumberland City Council,LGA,NSW,Order the Outstanding Notices S.735A & 121ZP from Cumberland City Council.,council@cumberland.nsw.gov.au,02 8757 9000,Cumberland,https://www.cumberland.nsw.gov.au,,
Cura Community Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Cura Community Management for a Victorian property.,,,,,,
Cura Community Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Cura Community Management Pty Ltd for a Victorian property.,,,,,,
CVA Melbourne,BodyCorp,VIC,Order the Owners Corporation Certificate from CVA Melbourne for a Victorian property.,,,,,,
CVA Property Consultants,BodyCorp,VIC,Order the Owners Corporation Certificate from CVA Property Consultants for a Victorian property.,,,,,,
CW Stirling & Co.,BodyCorp,VIC,Order the Owners Corporation Certificate from CW Stirling & Co.,,,,,,
D b body corporate managemen,BodyCorp,VIC,Order the Owners Corporation Certificate from D b body corporate managemen for a Victorian property.,,,,,,
D M Body Corporate Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from D M Body Corporate Pty Ltd for a Victorian property.,,,,,,
D.M Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from D.M Body Corporate for a Victorian property.,,,,,,
D&D,Other,VIC,Order the Premium Planning Certificate from D&D for a Victorian property.,,,,,,
Dalkat Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Dalkat Pty Ltd for a Victorian property.,,,,,,
Dandenong Valley Retirement Village Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Dandenong Valley Retirement Village Management Pty Ltd for a Victorian property.,,,,,,
Darebin City Council,LGA,VIC,Order the Council Land Information Certificate from Darebin City Council for a property in Darebin City.,mailbox@darebin.vic.gov.au,03 8470 8888,Darebin City,https://www.darebin.vic.gov.au,,
Darras & Zervas Estate Agents,BodyCorp,VIC,Order the Owners Corporation Certificate from Darras & Zervas Estate Agents for a Victorian property.,,,,,,
David Lyons,BodyCorp,VIC,Order the Owners Corporation Certificate from David Lyons for a Victorian property.,,,,,,
David McFarlane Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from David McFarlane Real Estate for a Victorian property.,,,,,,
David Taylor,BodyCorp,VIC,Order the Owners Corporation Certificate from David Taylor for a Victorian property.,,,,,,
Davies Pringle Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Davies Pringle Pty Ltd for a Victorian property.,,,,,,
DB Realty Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from DB Realty Pty Ltd for a Victorian property.,,,,,,
DCG Body Corporate Group,BodyCorp,VIC,Order the Owners Corporation Certificate from DCG Body Corporate Group for a Victorian property.,,,,,,
Delta Real Estate (Aust) Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Delta Real Estate (Aust) Pty Ltd for a Victorian property.,,,,,,
Department of Aboriginal and Torres Strait Islander Partnerships,State_government,QLD,Order the ATSI Cultural Heritage Search Request from Department of Aboriginal and Torres Strait Islander Partnerships.,,,,,,
Department of Environment and Heritage Protection,State_government,QLD,Order the Contaminated Land Search from Department of Environment and Heritage Protection.,,,,,,
Department of Industry (Lands),State_government,NSW,Order the Crown Land Conveyancing search from Department of Industry (Lands).,,,,,,
Department of Natural Resources and Mines,State_government,QLD,"Queensland Department of Resources — mining, land and titles information.",info@resources.qld.gov.au,,,https://www.resources.qld.gov.au,,
"Department of State Development, Infrastructure, Local Government, and Planning",State_government,QLD,"Order the Transport Noise Corridor from Department of State Development, Infrastructure, Local Government, and Planning.",,,,,,
Department of Transport and Main Roads,State_government,QLD,Queensland Department of Transport and Main Roads — roads and property access information.,info@tmr.qld.gov.au,13 23 80,,https://www.tmr.qld.gov.au,,
Dept of Environment Land Water & Planning,State_government,VIC,"Department of Energy, Environment and Climate Action (formerly DELWP) — planning, land and water information.",customer.service@deeca.vic.gov.au,136 186,,https://www.deeca.vic.gov.au,,
Dept of Primary Industries,State_government,VIC,Order the Mines Subsidence Hazard Search from Dept of Primary Industries for a Victorian property.,,,,,,
Dept of the Environment and Energy,State_government,VIC,Order the Australian Heritage Report from Dept of the Environment and Energy for a Victorian property.,,,,,,
Derwent Waters,BodyCorp,VIC,Order the Owners Corporation Certificate from Derwent Waters for a Victorian property.,,,,,,
Devlin & Co,BodyCorp,VIC,Order the Owners Corporation Certificate from Devlin & Co for a Victorian property.,,,,,,
DG Strata Pty Ltd,BodyCorp,VIC,Order the Additional Urgent Owners Corporation Certificate - within 2 business days from DG Strata Pty Ltd for a Victorian property.,,,,,,
Diamantina Shire Council,LGA,QLD,Order the Rates: Standard search from Diamantina Shire Council.,info@diamantina.qld.gov.au,,Diamantina Shire,https://www.diamantina.qld.gov.au,,
Diamond International Property Group Pty Ltd T/A Century 21 Reach,BodyCorp,VIC,Order the Owners Corporation Certificate from Diamond International Property Group Pty Ltd T/A Century 21 Reach for a Victorian property.,,,,,,
Diamond Living Home,BodyCorp,VIC,Order the Owners Corporation Certificate from Diamond Living Home for a Victorian property.,,,,,,
Diane Bock,BodyCorp,VIC,Order the BCP019437 - Owners Corporation Certificate from Diane Bock for a Victorian property.,,,,,,
Dixon Kestles & Co.,BodyCorp,VIC,Order the Owners Corporation Certificate from Dixon Kestles & Co.,,,,,,
DLT Management Services,BodyCorp,VIC,Order the Owners Corporation Certificate from DLT Management Services for a Victorian property.,,,,,,
DM Body Corporate Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from DM Body Corporate Pty Ltd for a Victorian property.,,,,,,
Doepel Lilley & Taylor,BodyCorp,VIC,Order the Owners Corporation Certificate from Doepel Lilley & Taylor for a Victorian property.,,,,,,
Dohertys Owners Corporation Specialists,BodyCorp,VIC,Order the Owners Corporation Certificate from Dohertys Owners Corporation Specialists for a Victorian property.,,,,,,
Domain Body Corporate Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Domain Body Corporate Pty Ltd for a Victorian property.,,,,,,
Domain OC,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Domain OC for a Victorian property.,,,,,,
Domaine Independent Living Units,BodyCorp,VIC,Order the Owners Corporation Certificate from Domaine Independent Living Units for a Victorian property.,,,,,,
Doncaster Retirement Village,BodyCorp,VIC,Order the Owners Corporation Certificate from Doncaster Retirement Village for a Victorian property.,,,,,,
Dorcas Street Body Corporate PS415724S,BodyCorp,VIC,Order the Owners Corporation Certificate from Dorcas Street Body Corporate PS415724S for a Victorian property.,,,,,,
Doreen Barbuto,BodyCorp,VIC,Order the Owners Corporation Certificate from Doreen Barbuto for a Victorian property.,,,,,,
Dorfler Lodge OC 13530,BodyCorp,VIC,Order the Owners Corporation Certificate from Dorfler Lodge OC 13530 for a Victorian property.,,,,,,
Douglas Shire Council,LGA,QLD,Order the Rates: Standard search from Douglas Shire Council.,info@douglas.qld.gov.au,,Douglas Shire,https://www.douglas.qld.gov.au,,
Downtown Strata Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Downtown Strata Management for a Victorian property.,,,,,,
Downtown Strata Title Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Downtown Strata Title Management for a Victorian property.,,,,,,
Dubbo Regional Council,LGA,NSW,Order the Outstanding Notices S.121ZP from Dubbo Regional Council.,council@dubbo.nsw.gov.au,02 6801 4000,Dubbo Regional,https://www.dubbo.nsw.gov.au,,
Dungog City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Dungog City Council.,info@dungog.nsw.gov.au,,Dungog,https://www.dungog.nsw.gov.au,,
Dynamic Assets Management (Vic) Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Dynamic Assets Management (Vic) Pty Ltd for a Victorian property.,,,,,,
Dynamic Residential,BodyCorp,VIC,Order the Owners Corporation Certificate from Dynamic Residential for a Victorian property.,,,,,,
E.J. Love,BodyCorp,VIC,Order the Owners Corporation Certificate from E.J.,,,,,,
Eagle Strata Services Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Eagle Strata Services Pty Ltd for a Victorian property.,,,,,,
East Gippsland Catchment Management Authority,State_government,VIC,Order the CMA Rural Floodplain Certificate from East Gippsland Catchment Management Authority for a Victorian property.,,,,,,
East Gippsland Financial Services,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from East Gippsland Financial Services for a Victorian property.,,,,,,
East Gippsland Region Water,Utility,VIC,East Gippsland Water — regional water corporation for East Gippsland.,feedback@egwater.vic.gov.au,1800 671 841,East Gippsland Region,https://www.egwater.vic.gov.au,,
East Gippsland Shire Council,LGA,VIC,Order the Council Land Information Certificate from East Gippsland Shire Council for a property in East Gippsland Shire.,info@eastgippsland.vic.gov.au,,East Gippsland Shire,https://www.eastgippsland.vic.gov.au,,
Eastern Central Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Eastern Central Real Estate for a Victorian property.,,,,,,
ECS Property Group Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from ECS Property Group Pty Ltd for a Victorian property.,,,,,,
Edmond & Corrigan Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Edmond & Corrigan Pty Ltd for a Victorian property.,,,,,,
Edward & Co Property Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Edward & Co Property Management for a Victorian property.,,,,,,
Edward River City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) & S.10.7(5) from Edward River City Council.,info@edwardriver.nsw.gov.au,,Edward River,https://www.edwardriver.nsw.gov.au,,
EK Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from EK Body Corporate for a Victorian property.,,,,,,
Elders Real Estate,BodyCorp,VIC,Order the Bairnsdale - Owners Corporation Certificate from Elders Real Estate for a Victorian property.,,,,,,
Elever Property Group,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from Elever Property Group for a Victorian property.,,,,,,
Elite Body Corporate Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Elite Body Corporate Management for a Victorian property.,,,,,,
Elite BodyCorp Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Elite BodyCorp Pty Ltd for a Victorian property.,,,,,,
Elite Owners Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Elite Owners Management for a Victorian property.,,,,,,
Elson Nominees,BodyCorp,VIC,Order the Owners Corporation Certificate from Elson Nominees for a Victorian property.,,,,,,
Emerson National Property Consultants Pty Ltd,BodyCorp,VIC,Order the Lower Plenty - Owners Corporation Certificate from Emerson National Property Consultants Pty Ltd for a Victorian property.,,,,,,
Energex,Utility,QLD,Energex — electricity distribution network for south-east Queensland.,customercare@energex.com.au,13 12 53,,https://www.energex.com.au,,
Engine Estate Management,BodyCorp,VIC,Order the Additional Owners Corporation Certificate from Engine Estate Management for a Victorian property.,,,,,,
Engine Estates Management Pty Ltd,BodyCorp,VIC,Order the OC Certificate from Engine Estates Management Pty Ltd for a Victorian property.,,,,,,
Engine Owners Corporation Management Pty LTd,BodyCorp,VIC,Order the Owners Corporation Certificate from Engine Owners Corporation Management Pty LTd for a Victorian property.,,,,,,
Engine Property Group,BodyCorp,VIC,Order the Owners Corporation Certificate from Engine Property Group for a Victorian property.,,,,,,
Enhancing Community Living,BodyCorp,VIC,Order the Owners Corporation Certificate from Enhancing Community Living for a Victorian property.,,,,,,
Enrich Strata Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Enrich Strata Management for a Victorian property.,,,,,,
Environmental Protection Authority,State_government,VIC,EPA Victoria — environmental protection certificates and site information.,contact@epa.vic.gov.au,1300 372 842,,https://www.epa.vic.gov.au,,
Ergon Energy,Utility,QLD,Ergon Energy — electricity distribution network for regional Queensland.,customercare@ergon.com.au,13 10 46,,https://www.ergon.com.au,,
Ernest F Williams & Son,BodyCorp,VIC,Order the Owners Corporation Certificate from Ernest F Williams & Son for a Victorian property.,,,,,,
Essential Community Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Essential Community Management for a Victorian property.,,,,,,
Essential Water City Council,LGA,NSW,Order the Essential Water Conveyancing Certificate from Essential Water City Council.,info@essentialwater.nsw.gov.au,,Essential Water,https://www.essentialwater.nsw.gov.au,,
Estate Body Corporate Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Estate Body Corporate Management for a Victorian property.,,,,,,
Etheridge Shire Council,LGA,QLD,Order the Town plan: Limited certificate from Etheridge Shire Council.,info@etheridge.qld.gov.au,,Etheridge Shire,https://www.etheridge.qld.gov.au,,
Eurobodalla City Council,LGA,NSW,Order the Outstanding Notices S.735A from Eurobodalla City Council.,info@eurobodalla.nsw.gov.au,,Eurobodalla,https://www.eurobodalla.nsw.gov.au,,
EVJ-OCM Services Pty Ltd,BodyCorp,VIC,Order the Urgent Owners Corporation Certificate - within 2 business days from EVJ-OCM Services Pty Ltd for a Victorian property.,,,,,,
ewen strata management,BodyCorp,VIC,Order the Owners Corporation Certificate from ewen strata management for a Victorian property.,,,,,,
Excel Strata Managers Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Excel Strata Managers Pty Ltd for a Victorian property.,,,,,,
Extons Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Extons Real Estate for a Victorian property.,,,,,,
Ezra Body Corporate Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Ezra Body Corporate Management Pty Ltd for a Victorian property.,,,,,,
Fabi Developments,BodyCorp,VIC,Order the Owners Corporation Certificate from Fabi Developments for a Victorian property.,,,,,,
Facey Owners Corporation Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Facey Owners Corporation Pty Ltd for a Victorian property.,,,,,,
Fairfield City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Fairfield City Council.,mail@fairfieldcity.nsw.gov.au,02 9725 0222,Fairfield,https://www.fairfieldcity.nsw.gov.au,,
Falk & Co,BodyCorp,VIC,Order the Owners Corporation Certificate from Falk & Co for a Victorian property.,,,,,,
Fawkner May Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Fawkner May Pty Ltd for a Victorian property.,,,,,,
Federation City Council,LGA,NSW,Order the Property Sewer Service Diagram from Federation City Council.,info@federation.nsw.gov.au,,Federation,https://www.federation.nsw.gov.au,,
Fernhurst Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Fernhurst Body Corporate for a Victorian property.,,,,,,
Fig Tree Developments,BodyCorp,VIC,Order the Owners Corporation Certificate from Fig Tree Developments for a Victorian property.,,,,,,
Finch Property Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Finch Property Management Pty Ltd for a Victorian property.,,,,,,
Fine Choice Property Management Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Fine Choice Property Management Pty Ltd for a Victorian property.,,,,,,
First Class Mowing and Maintenance,BodyCorp,VIC,Order the Owners Corporation Certificate from First Class Mowing and Maintenance for a Victorian property.,,,,,,
FIRST COMMUNITY MANAGEMENT PTY LTD,BodyCorp,VIC,Order the Owners Corporation Certificate from FIRST COMMUNITY MANAGEMENT PTY LTD for a Victorian property.,,,,,,
Fitzroys,BodyCorp,VIC,Order the Owners Corporation Certificate from Fitzroys for a Victorian property.,,,,,,
FKB Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from FKB Pty Ltd for a Victorian property.,,,,,,
Flinders Shire Council,LGA,QLD,"Order the Rates Full Search (includes rating information, water, sewerage and town planning) from Flinders Shire Council.",info@flinders.qld.gov.au,,Flinders Shire,https://www.flinders.qld.gov.au,,
Flinders Wharf,BodyCorp,VIC,Order the Owners Corporation Certificate from Flinders Wharf for a Victorian property.,,,,,,
Focus Plus Management Group,BodyCorp,VIC,Order the Urgent within 3-5 days Owners Corporation Certificate from Focus Plus Management Group for a Victorian property.,,,,,,
For Your Body Corporate Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from For Your Body Corporate Pty Ltd for a Victorian property.,,,,,,
Forbes City Council,LGA,NSW,Order the Planning Certificate S.10.7(2) from Forbes City Council.,info@forbes.nsw.gov.au,,Forbes,https://www.forbes.nsw.gov.au,,
Forest Hills Retirement Village,BodyCorp,VIC,Order the Owners Corporation Certificate from Forest Hills Retirement Village for a Victorian property.,,,,,,
Fountain Court Management Services Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Fountain Court Management Services Pty Ltd for a Victorian property.,,,,,,
Frankston City Council,LGA,VIC,Order the Council Land Information Certificate - Standard Service from Frankston City Council for a property in Frankston City.,info@frankston.vic.gov.au,1300 322 322,Frankston City,https://www.frankston.vic.gov.au,,
Fraser Coast Regional Council,LGA,QLD,Order the Building/Plumb compliance search Dwelling from Fraser Coast Regional Council.,info@frasercoast.qld.gov.au,,Fraser Coast Regional,https://www.frasercoast.qld.gov.au,,
Freedom Plus Property,BodyCorp,VIC,Order the Owners Corporation Certificate from Freedom Plus Property for a Victorian property.,,,,,,
Friedlaenders Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Friedlaenders Real Estate for a Victorian property.,,,,,,
Fullarton Commercial Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Fullarton Commercial Real Estate for a Victorian property.,,,,,,
G J Walters & Co,BodyCorp,VIC,Order the Owners Corporation Certificate from G J Walters & Co for a Victorian property.,,,,,,
GALLIUM PROPERTY GROUP,BodyCorp,VIC,Order the Owners Corporation Certificate from GALLIUM PROPERTY GROUP for a Victorian property.,,,,,,
Gannawarra Shire Council,LGA,VIC,Order the Council Land Information Certificate from Gannawarra Shire Council for a property in Gannawarra Shire.,info@gannawarra.vic.gov.au,,Gannawarra Shire,https://www.gannawarra.vic.gov.au,,
Gardenia Gardens Owners Corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from Gardenia Gardens Owners Corporation for a Victorian property.,,,,,,
Gascoyne Mews Owners Corporation,BodyCorp,VIC,Order the Owners Corporation Certificate from Gascoyne Mews Owners Corporation for a Victorian property.,,,,,,
Gaston Court Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Gaston Court Pty Ltd for a Victorian property.,,,,,,
Gateway Property Services (Melbourne) Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Gateway Property Services (Melbourne) Pty Ltd for a Victorian property.,,,,,,
Gavens Business Solutions,BodyCorp,VIC,Order the Owners Corporation Certificate from Gavens Business Solutions for a Victorian property.,,,,,,
Geelong Golf Club Residential Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Geelong Golf Club Residential Estate for a Victorian property.,,,,,,
Geelong Property Group,BodyCorp,VIC,Order the Owners Corporation Certificate from Geelong Property Group for a Victorian property.,,,,,,
Gemdale Strata Management,BodyCorp,VIC,Order the Owners Corporation Certificate from Gemdale Strata Management for a Victorian property.,,,,,,
GENESIS PM PTY LTD,BodyCorp,VIC,Order the Owners Corporation Certificate from GENESIS PM PTY LTD for a Victorian property.,,,,,,
Geoff Nixon Real Estate,BodyCorp,VIC,Order the Owners Corporation Certificate from Geoff Nixon Real Estate for a Victorian property.,,,,,,
Georges River City Council,LGA,NSW,Order the Outstanding Notices S.121ZP from Georges River City Council.,mail@georgesriver.nsw.gov.au,02 9330 6400,Georges River,https://www.georgesriver.nsw.gov.au,,
Georgiana Terrace Body Corporate,BodyCorp,VIC,Order the Owners Corporation Certificate from Georgiana Terrace Body Corporate for a Victorian property.,,,,,,
Gerald Street Body Corporation SP312629,BodyCorp,VIC,Order the Owners Corporation Certificate from Gerald Street Body Corporation SP312629 for a Victorian property.,,,,,,
GIA Owners Corporation Pty Ltd,BodyCorp,VIC,Order the OC Certificate from GIA Owners Corporation Pty Ltd for a Victorian property.,,,,,,
Giancorp Property Group Pty Ltd,BodyCorp,VIC,Order the Owners Corporation Certificate from Giancorp Property Group Pty Ltd for a Victorian property.,,,,,,
