product_name,sku,state,type,display_on_ui,description,council,provider_name,provider_id,cost,retail_price,gst_option,gst_amount,fulfillment_method,status,required_data_buyer,required_data_seller
Benalla Rural City Council - Council Land Information Certificate,VICLGALANDINFOV22,VIC,LGA,true,"Order the Council Land Information Certificate from Benalla Rural City Council for a property in Benalla Rural City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Benalla Rural City,Benalla Rural City Council,a3ac25e6-5360-4788-a938-e47639d23b8e,,,normal_gst_10,,Manual,active,,
VIC - Settlement Booking Module,VICOTHERSETTLEMENTBOOKINGMODULEV23,VIC,Other,true,"Order the Settlement Booking Module from VIC for a Victorian property. This product provides the search, certificate, plan, report or property information stated in the product name.",ALL,VIC,9c2aa5d4-012d-4e6b-90bd-cd4183e4441f,,,normal_gst_10,,Manual,active,,
East Gippsland Shire Council - Council Land Information Certificate,VICLGALANDINFOV24,VIC,LGA,true,"Order the Council Land Information Certificate from East Gippsland Shire Council for a property in East Gippsland Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",East Gippsland Shire,East Gippsland Shire Council,1aafa3ec-9b67-45f5-82ef-0770c9445c78,,,normal_gst_10,,Manual,active,,
East Gippsland Region Water - Special Water Meter Reading,VICUTILITYWATERMETERV25,VIC,Utility,true,Order the Special Water Meter Reading from East Gippsland Region Water for a property in East Gippsland Region. This service requests the stated water-meter reading from the relevant water authority for property settlement or account purposes.,East Gippsland Region,East Gippsland Region Water,d0d1fbb3-3a6f-41fa-92b2-568fdf0f3b98,,,normal_gst_10,,Manual,active,,
East Gippsland Region Water - Water Information Statement,VICUTILITYWATERINFOV25,VIC,Utility,true,"Order the Water Information Statement from East Gippsland Region Water for a property in East Gippsland Region. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",East Gippsland Region,East Gippsland Region Water,d0d1fbb3-3a6f-41fa-92b2-568fdf0f3b98,,,normal_gst_10,,Manual,active,,
Environmental Protection Authority - EPA Certificate,VICGOVEPACERTV26,VIC,State_government,true,"Order the EPA Certificate from Environmental Protection Authority for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,Environmental Protection Authority,506a9539-f1ea-4e9d-8eb4-657205093798,,,normal_gst_10,,Manual,active,,
Frankston City Council - Council Land Information Certificate - Standard Service,VICLGALANDINFOSTDV27,VIC,LGA,true,"Order the Council Land Information Certificate - Standard Service from Frankston City Council for a property in Frankston City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders. This is the standard service option.",Frankston City,Frankston City Council,9ae9a14c-bc16-4dfb-9f7d-0ff1bd78a357,,,normal_gst_10,,Manual,active,,
Gannawarra Shire Council - Council Land Information Certificate,VICLGALANDINFOV28,VIC,LGA,true,"Order the Council Land Information Certificate from Gannawarra Shire Council for a property in Gannawarra Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Gannawarra Shire,Gannawarra Shire Council,aec984cc-f8ff-4c87-9dc4-b4d1526bd17a,,,normal_gst_10,,Manual,active,,
Gippsland Region Water - Water Information Statement,VICUTILITYWATERINFOV29,VIC,Utility,true,"Order the Water Information Statement from Gippsland Region Water for a property in Gippsland Region. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",Gippsland Region,Gippsland Region Water,efd091ee-8c85-4dea-8247-ed4dc59548c5,,,normal_gst_10,,Manual,active,,
Glen Eira City Council - Council Land Information Certificate,VICLGALANDINFOV30,VIC,LGA,true,"Order the Council Land Information Certificate from Glen Eira City Council for a property in Glen Eira City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Glen Eira City,Glen Eira City Council,edd53e2c-b9c9-48cf-ab2b-b81dc0d40400,,,normal_gst_10,,Manual,active,,
Glenelg Shire Council - Council Land Information Certificate,VICLGALANDINFOV31,VIC,LGA,true,"Order the Council Land Information Certificate from Glenelg Shire Council for a property in Glenelg Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Glenelg Shire,Glenelg Shire Council,7ea5b471-cd93-4c0e-934b-13cf5374edc1,,,normal_gst_10,,Manual,active,,
Golden Plains Shire Council - Council Land Information Certificate,VICLGALANDINFOV32,VIC,LGA,true,"Order the Council Land Information Certificate from Golden Plains Shire Council for a property in Golden Plains Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Golden Plains Shire,Golden Plains Shire Council,f7fb3158-8f33-4e89-912d-9853de926eaa,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Title Search Online - Cached,VICGOVTITLESRCHONLINECACHEDV33,VIC,State_government,true,"Order the Title Search Online - Cached from VIC LANDATA for a Victorian property. A current Victorian title search can show registered proprietors, the land description, encumbrances such as mortgages or caveats, and the source of the property diagram.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
Goulburn Murray Rural Water - Water Information Statement,VICUTILITYWATERINFOV34,VIC,Utility,true,"Order the Water Information Statement from Goulburn Murray Rural Water for a property in Goulburn Murray Rural. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",Goulburn Murray Rural,Goulburn Murray Rural Water,2cd082cf-ed17-4c3e-a9eb-c61ba15b9c22,,,normal_gst_10,,Manual,active,,
Goulburn Valley Region Water - Water Information Statement,VICUTILITYWATERINFOV35,VIC,Utility,true,"Order the Water Information Statement from Goulburn Valley Region Water for a property in Goulburn Valley Region. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",Goulburn Valley Region,Goulburn Valley Region Water,f254b6a0-c823-4a38-ae0b-12d1a5d65502,,,normal_gst_10,,Manual,active,,
Grampians Wimmera Mallee Water - Urban - Water Information Statement,VICUTILITYURBANWATERINFOV36,VIC,Utility,true,"Order the Urban - Water Information Statement from Grampians Wimmera Mallee Water for a property in Grampians Wimmera Mallee. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",Grampians Wimmera Mallee,Grampians Wimmera Mallee Water,8fa72ad8-6f81-46b7-8fc7-cd0ad9020e04,,,normal_gst_10,,Manual,active,,
Kingston City Council - Council Land Information Certificate - Standard Service,VICLGALANDINFOSTDV37,VIC,LGA,true,"Order the Council Land Information Certificate - Standard Service from Kingston City Council for a property in Kingston City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders. This is the standard service option.",Kingston City,Kingston City Council,b385c958-44ab-47bd-aab2-ec0f72cec43d,,,normal_gst_10,,Manual,active,,
Latrobe City Council - Council Land Information Certificate,VICLGALANDINFOV38,VIC,LGA,true,"Order the Council Land Information Certificate from Latrobe City Council for a property in Latrobe City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Latrobe City,Latrobe City Council,3ce573e3-c33f-4c39-9420-50b5beec4334,,,normal_gst_10,,Manual,active,,
VIC LANDATA - List of Titles affected by an Instrument,VICGOVLISTOFTITLESAFFECTEDBYANINSTRUMEV33,VIC,State_government,true,"Order the List of Titles affected by an Instrument from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Copy of Survey Report or Field Notes,VICGOVCOPYOFSURVEYRPTORFIELDNOTESV33,VIC,State_government,true,"Order the Copy of Survey Report or Field Notes from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Copy of Dealing,VICGOVCOPYOFDEALINGV33,VIC,State_government,true,"Order the Copy of Dealing from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Copy of Plan,VICGOVCOPYOFPLANV33,VIC,State_government,true,"Order the Copy of Plan from VIC LANDATA for a Victorian property. This service supplies the stated registered plan or land-record document for property identification, boundaries and transaction due diligence.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Dealing or Instrument Enquiry,VICGOVDEALINGORINSTRUMENTENQUIRYV33,VIC,State_government,true,"Order the Dealing or Instrument Enquiry from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Final Search Statement,VICGOVFINALSRCHSTMTV33,VIC,State_government,true,"Order the Final Search Statement from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Title Search Online,VICGOVTITLESRCHONLINEV33,VIC,State_government,true,"Order the Title Search Online from VIC LANDATA for a Victorian property. A current Victorian title search can show registered proprietors, the land description, encumbrances such as mortgages or caveats, and the source of the property diagram.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Title Search Online - Plan Component,VICGOVTITLESRCHONLINEPLANCOMPONENTV33,VIC,State_government,true,"Order the Title Search Online - Plan Component from VIC LANDATA for a Victorian property. A current Victorian title search can show registered proprietors, the land description, encumbrances such as mortgages or caveats, and the source of the property diagram.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Issue Search,VICGOVISSUESRCHV33,VIC,State_government,true,"Order the Issue Search from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Prelodgement Check,VICGOVPRELODGEMENTCHECKV33,VIC,State_government,true,"Order the Prelodgement Check from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
Loddon Shire Council - Council Land Information Certificate,VICLGALANDINFOV39,VIC,LGA,true,"Order the Council Land Information Certificate from Loddon Shire Council for a property in Loddon Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Loddon Shire,Loddon Shire Council,0fb8e25a-8d76-4a26-bf72-4bfdf2589db3,,,normal_gst_10,,Manual,active,,
Lower Murray Urban & Rural Water Authority (Urban) - Water Information Statement,VICUTILITYWATERINFOV40,VIC,Utility,true,"Order the Water Information Statement from Lower Murray Urban & Rural Water Authority (Urban) for a property in Lower Murray Urban. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",Lower Murray Urban,Lower Murray Urban & Rural Water Authority (Urban),d5bc03fb-caf8-4e5f-8046-fd7794888446,,,normal_gst_10,,Manual,active,,
Macedon Ranges Shire Council - Council Land Information Certificate,VICLGALANDINFOV41,VIC,LGA,true,"Order the Council Land Information Certificate from Macedon Ranges Shire Council for a property in Macedon Ranges Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Macedon Ranges Shire,Macedon Ranges Shire Council,60f635ac-2348-4645-996b-0608892e0249,,,normal_gst_10,,Manual,active,,
Manningham City Council - Council Land Information Certificate - Standard Service,VICLGALANDINFOSTDV42,VIC,LGA,true,"Order the Council Land Information Certificate - Standard Service from Manningham City Council for a property in Manningham City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders. This is the standard service option.",Manningham City,Manningham City Council,4bb71e6f-2b6b-4a83-8816-16eb33cd3992,,,normal_gst_10,,Manual,active,,
Maribyrnong City Council - Council Land Information Certificate - Standard Service,VICLGALANDINFOSTDV43,VIC,LGA,true,"Order the Council Land Information Certificate - Standard Service from Maribyrnong City Council for a property in Maribyrnong City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders. This is the standard service option.",Maribyrnong City,Maribyrnong City Council,f9c53da7-9403-40ff-add5-a43c938fbc28,,,normal_gst_10,,Manual,active,,
Maroondah City Council - Council Land Information Certificate - Standard Service,VICLGALANDINFOSTDV44,VIC,LGA,true,"Order the Council Land Information Certificate - Standard Service from Maroondah City Council for a property in Maroondah City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders. This is the standard service option.",Maroondah City,Maroondah City Council,d264986b-5199-4de2-892e-e270c5c856fa,,,normal_gst_10,,Manual,active,,
Melbourne City Council - Council Land Information Certificate,VICLGALANDINFOV45,VIC,LGA,true,"Order the Council Land Information Certificate from Melbourne City Council for a property in Melbourne City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Melbourne City,Melbourne City Council,8a976d9d-e450-4b38-92b2-a11b9ae4be03,,,normal_gst_10,,Manual,active,,
Melton City Council - Council Land Information Certificate,VICLGALANDINFOV46,VIC,LGA,true,"Order the Council Land Information Certificate from Melton City Council for a property in Melton City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Melton City,Melton City Council,31afc895-0061-47e9-b707-8e8724d4d744,,,normal_gst_10,,Manual,active,,
Mildura Rural City Council - Council Land Information Certificate,VICLGALANDINFOV47,VIC,LGA,true,"Order the Council Land Information Certificate from Mildura Rural City Council for a property in Mildura Rural City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Mildura Rural City,Mildura Rural City Council,92a8ebc4-e348-4fca-a5c9-96009a43d8b9,,,normal_gst_10,,Manual,active,,
Mitchell Shire Council - Council Land Information Certificate,VICLGALANDINFOV48,VIC,LGA,true,"Order the Council Land Information Certificate from Mitchell Shire Council for a property in Mitchell Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Mitchell Shire,Mitchell Shire Council,b5502cb0-979c-4e99-9975-3a86c84e6190,,,normal_gst_10,,Manual,active,,
Moira Shire Council - Council Land Information Certificate,VICLGALANDINFOV49,VIC,LGA,true,"Order the Council Land Information Certificate from Moira Shire Council for a property in Moira Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Moira Shire,Moira Shire Council,e64df4f3-cc0a-499e-9a09-20a8c88ef9c6,,,normal_gst_10,,Manual,active,,
Monash City Council - Council Land Information Certificate,VICLGALANDINFOV50,VIC,LGA,true,"Order the Council Land Information Certificate from Monash City Council for a property in Monash City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Monash City,Monash City Council,29eeea3f-e2c3-42d0-ab47-a2c5c48dd814,,,normal_gst_10,,Manual,active,,
Moonee Valley City Council - Council Land Information Certificate,VICLGALANDINFOV51,VIC,LGA,true,"Order the Council Land Information Certificate from Moonee Valley City Council for a property in Moonee Valley City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Moonee Valley City,Moonee Valley City Council,897eeaf8-6a7e-4321-b1ec-7bc18f929237,,,normal_gst_10,,Manual,active,,
Moorabool Shire Council - Council Land Information Certificate,VICLGALANDINFOV52,VIC,LGA,true,"Order the Council Land Information Certificate from Moorabool Shire Council for a property in Moorabool Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Moorabool Shire,Moorabool Shire Council,1100e980-9546-4cc0-a2e4-13c44d3a3d06,,,normal_gst_10,,Manual,active,,
Merri-bek City Council - Land Information Certificate,VICLGALANDINFOCERTV53,VIC,LGA,true,"Order the Land Information Certificate from Merri-bek City Council for a property in Merri-bek City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Merri-bek City,Merri-bek City Council,d3dfe508-637e-4b5d-a3a4-346968b36b4c,,,normal_gst_10,,Manual,active,,
Mornington Peninsula Shire Council - Council Land Information Certificate,VICLGALANDINFOV54,VIC,LGA,true,"Order the Council Land Information Certificate from Mornington Peninsula Shire Council for a property in Mornington Peninsula Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Mornington Peninsula Shire,Mornington Peninsula Shire Council,5f347e6d-2185-46d3-a87c-1a65fc11d93c,,,normal_gst_10,,Manual,active,,
Mount Alexander Shire Council - Council Land Information Certificate,VICLGALANDINFOV55,VIC,LGA,true,"Order the Council Land Information Certificate from Mount Alexander Shire Council for a property in Mount Alexander Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Mount Alexander Shire,Mount Alexander Shire Council,edb2c4da-5fcb-43bf-b396-c84962d5c709,,,normal_gst_10,,Manual,active,,
Moyne Shire Council - Council Land Information Certificate,VICLGALANDINFOV56,VIC,LGA,true,"Order the Council Land Information Certificate from Moyne Shire Council for a property in Moyne Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Moyne Shire,Moyne Shire Council,189cd442-bad9-42f3-ba6a-2fd3a8e0ab19,,,normal_gst_10,,Manual,active,,
Murrindindi Shire Council - Council Land Information Certificate,VICLGALANDINFOV57,VIC,LGA,true,"Order the Council Land Information Certificate from Murrindindi Shire Council for a property in Murrindindi Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Murrindindi Shire,Murrindindi Shire Council,58da9660-adc8-4d23-86d9-e1ab8b015ba1,,,normal_gst_10,,Manual,active,,
National Trust VIC Branch - National Trust Certificate,VICGOVNATIONALTRUSTCERTV58,VIC,State_government,true,"Order the National Trust Certificate from National Trust VIC Branch for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,National Trust VIC Branch,713225bb-82fd-40b5-aef2-8cbb56d5682d,,,normal_gst_10,,Manual,active,,
Nillumbik Shire Council - Council Land Information Certificate,VICLGALANDINFOV59,VIC,LGA,true,"Order the Council Land Information Certificate from Nillumbik Shire Council for a property in Nillumbik Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Nillumbik Shire,Nillumbik Shire Council,ca222b15-3139-4a5e-ad34-6070b175e414,,,normal_gst_10,,Manual,active,,
North East Region Water - Water Information Statement,VICUTILITYWATERINFOV60,VIC,Utility,true,"Order the Water Information Statement from North East Region Water for a property in North East Region. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",North East Region,North East Region Water,11bafeae-9d0a-418b-a8ad-0ea52019b3cd,,,normal_gst_10,,Manual,active,,
